id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
498,Moe Goes from Rags to Riches,29/01/2012,PABF05,23,12,498,5.12,39838,5.7,562
447,Pranks and Greens,22/11/2009,LABF18,21,6,447,7.03,,6.7,543
91,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",16/12/1993,1F08,5,10,91,17.9,82216,8.5,1274
504,Beware My Cheating Bart,15/04/2012,PABF11,23,18,504,4.86,43422,7.1,470
506,The Spy Who Learned Me,06/05/2012,PABF13,23,20,506,4.84,43544,6.9,405
508,Lisa Goes Gaga,20/05/2012,PABF14,23,22,508,4.82,44434,4.5,1215
513,Penny-Wiseguys,18/11/2012,PABF19,24,5,513,5.06,36897,6.3,426
516,To Cur with Love,16/12/2012,RABF01,24,8,516,3.77,40726,7.2,441
518,A Test Before Trying,13/01/2013,RABF03,24,10,518,5.04,41542,7,408
520,Love is a Many-Splintered Thing,10/02/2013,RABF07,24,12,520,4.19,41828,6.5,471
522,Gorgeous Grampa,03/03/2013,RABF06,24,14,522,4.66,39510,6.2,423
525,What Animated Women Want,14/04/2013,RABF08,24,17,525,4.11,43471,6.5,425
527,Whiskey Business,05/05/2013,RABF13,24,19,527,4.43,42810,6.8,371
531,Homerland,29/09/2013,RABF20,25,1,531,6.37,47531,7,635
534,YOLO,10/11/2013,RABF22,25,4,534,4.2,44551,6.7,489
536,The Kid Is All Right,24/11/2013,SABF02,25,6,536,6.78,39590,6.5,468
538,White Christmas Blues,15/12/2013,SABF01,25,8,538,8.48,39290,6.5,449
541,Specs and the City,26/01/2014,SABF06,25,11,541,3.87,44119,7.2,431
543,The Man Who Grew Too Much,09/03/2014,SABF07,25,13,543,3.75,44512,6.7,468
545,The War of Art,23/03/2014,SABF10,25,15,545,3.98,41726,7,414
547,Luca$,06/04/2014,SABF12,25,17,547,4.3,45184,6.5,415
550,Brick Like Me,04/05/2014,RABF21,25,20,550,4.39,65613,7.7,705
552,The Yellow Badge of Cowardge,18/05/2014,SABF18,25,22,552,3.28,46408,6.7,416
554,The Wreck of the Relationship,05/10/2014,SABF17,26,2,554,4.27,38411,6.9,490
557,Opposites A-Frack,02/11/2014,SABF22,26,5,557,4.22,36410,6.3,442
559,Blazed and Confused,16/11/2014,TABF01,26,7,559,6.7,43513,6.9,456
562,The Man Who Came to Be Dinner,04/01/2015,RABF15,26,10,562,10.62,36622,6.8,578
564,The Musk Who Fell to Earth,25/01/2015,TABF04,26,12,564,3.29,35848,5.8,439
570,Peeping Mom,19/04/2015,TABF11,26,18,570,3.23,40157,6.7,334
9,Life on the Fast Lane,18/03/1990,7G11,1,9,9,33.5,64776,7.5,1578
11,The Crepes of Wrath,15/04/1990,7G13,1,11,11,31.2,60458,7.8,1539
13,Some Enchanted Evening,13/05/1990,7G01,1,13,13,27.1,57590,7.9,1567
15,Simpson and Delilah,18/10/1990,7F02,2,2,15,29.9,58553,8.3,1588
16,Treehouse of Horror,25/10/1990,7F04,2,3,16,27.4,130282,8.2,1786
18,Dancin' Homer,08/11/1990,7F05,2,5,18,26.1,49005,7.5,1381
20,Bart vs. Thanksgiving,22/11/1990,7F07,2,7,20,25.9,47539,7.7,1324
22,Itchy & Scratchy & Marge,20/12/1990,7F09,2,9,22,22.2,55413,8.1,1402
25,The Way We Was,31/01/1991,7F11,2,12,25,26.8,51182,8.2,1392
27,Principal Charming,14/02/1991,7F15,2,14,27,23.9,46823,7.5,1241
29,"Bart's Dog Gets an ""F""",07/03/1991,7F14,2,16,29,23.9,47780,7.5,1264
33,The War of the Simpsons,02/05/1991,7F20,2,20,33,19.7,51997,7.9,1246
573,Bull-E,10/05/2015,TABF15,26,21,573,2.77,43978,6.8,335
576,Cue Detective,04/10/2015,TABF17,27,2,576,6.02,178,6.7,395
580,Friend with Benefit,08/11/2015,TABF21,27,6,580,3.48,175,6.8,335
583,Barthood,13/12/2015,VABF02,27,9,583,5.97,182,8.4,698
585,Teenage Mutant Milk-Caused Hurdles,10/01/2016,VABF04,27,11,585,8.33,172,6.8,309
598,"Friends and Family""[203]",02/10/2016,VABF18,28,2,598,,,,
599,"The Town""[205]",09/10/2016,VABF17,28,3,599,,,,
600,"Treehouse of Horror XXVII""[207]",16/10/2016,VABF16,28,4,600,,,,
588,Gal of Constant Sorrow,21/02/2016,VABF06,27,14,588,3.1,144,6.6,293
590,The Marge-ian Chronicles,13/03/2016,VABF09,27,16,590,3.07,201,7.3,262
593,Fland Canyon,24/04/2016,VABF12,27,19,593,2.77,192,7.1,229
595,Simprovised,15/05/2016,VABF13,27,21,595,2.8,228,6.4,227
1,Simpsons Roasting on an Open Fire,17/12/1989,7G08,1,1,1,26.7,171408,8.2,3734
2,Bart the Genius,14/01/1990,7G02,1,2,2,24.5,91423,7.8,1973
4,There's No Disgrace Like Home,28/01/1990,7G04,1,4,4,20.2,67378,7.8,1701
6,Moaning Lisa,11/02/1990,7G06,1,6,6,27.4,55355,7.6,1674
8,The Telltale Head,25/02/1990,7G07,1,8,8,28,66311,7.7,1580
34,Three Men and a Comic Book,09/05/1991,7F21,2,21,34,21,50403,8.4,1379
36,Stark Raving Dad,19/09/1991,7F24,3,1,36,22.9,55238,8.6,1798
38,When Flanders Failed,03/10/1991,7F23,3,3,38,22.8,53499,8.2,1302
40,Homer Defined,17/10/1991,8F04,3,5,40,20.6,50601,8.5,1452
78,The Front,15/04/1993,9F16,4,19,78,20.1,53404,8.1,1122
73,Brother from the Same Planet,04/02/1993,9F12,4,14,73,23.8,59040,8.1,1176
86,Treehouse of Horror IV,28/10/1993,1F04,5,5,86,24,110251,8.7,1437
71,Marge vs. the Monorail,14/01/1993,9F10,4,12,71,23,88171,9,2028
74,I Love Lisa,11/02/1993,9F13,4,15,74,25.2,62309,8.3,1268
90,The Last Temptation of Homer,09/12/1993,1F07,5,9,90,20.6,59350,8.4,1308
54,Dog of Death,12/03/1992,8F17,3,19,54,23.4,49665,7.7,1165
42,Treehouse of Horror II,31/10/1991,8F02,3,7,42,20,103012,8.2,1369
43,Lisa's Pony,07/11/1991,8F06,3,8,43,23,53093,7.9,1243
66,Marge Gets a Job,05/11/1992,9F05,4,7,66,22.9,69527,7.8,1163
47,I Married Marge,26/12/1991,8F10,3,12,47,21.9,47880,8.2,1213
76,Last Exit to Springfield,11/03/1993,9F15,4,17,76,22.4,71907,9,1827
49,Lisa the Greek,23/01/1992,8F12,3,14,49,23.2,49457,8,1179
57,The Otto Show,23/04/1992,8F21,3,22,57,17.5,50068,7.7,1176
85,Rosebud,21/10/1993,1F01,5,4,85,19.5,57149,8.9,1479
50,Homer Alone,06/02/1992,8F14,3,15,50,23.7,58991,8,1176
52,Homer at the Bat,20/02/1992,8F13,3,17,52,24.6,72378,8.6,1637
79,Whacking Day,29/04/1993,9F18,4,20,79,20,60739,8.1,1234
63,Lisa the Beauty Queen,15/10/1992,9F02,4,4,63,19,52203,7.8,1194
81,Krusty Gets Kancelled,13/05/1993,9F19,4,22,81,19.4,59948,8.2,1269
